Species;Treatment;Site;Block;Plot;Tree_ID;Family;DBH;Height;Sampled_density;Chave_local;Nogueira_local;Literature_density;Chave_literature;Nogueira_literature;sp
Croton floribundus ;SEM;1;2;2;1999;Euphorbiaceae;18.1;13.3;0.4303;105.30;118.75;0.4967;121.13;138.59;9
Croton floribundus ;DIV;1;2;2;4973;Euphorbiaceae;16;13.6;0.4303;84.60;92.24;0.4967;97.31;107.65;9
Croton floribundus ;DIV;2;1;2;105;Euphorbiaceae;14.3;13;0.4303;65.01;71.67;0.4967;74.78;83.64;9
Croton floribundus ;DIV;2;2;1;456;Euphorbiaceae;23.3;14;0.4303;181.25;205.88;0.4967;208.48;240.28;9
Croton floribundus ;CMLM;2;2;1;510;Euphorbiaceae;12;8.2;0.4303;29.45;42.32;0.4967;33.87;49.39;9
Dipteryx alata ;DIV;1;3;1;1713;Fabaceae;10.2;13.8;0.6943;56.84;60.02;0.9367;76.14;82.86;10
Dipteryx alata ;DIV;1;3;2;1740;Fabaceae;13;16.9;0.6943;111.22;107.27;0.9367;148.98;148.10;10
Dipteryx alata ;DIV;1;3;2;1742;Fabaceae;15.6;15.5;0.6943;145.92;153.04;0.9367;195.45;211.28;10
Dipteryx alata ;DIV;2;1;2;101;Fabaceae;14;14.2;0.6943;108.45;118.22;0.9367;145.26;163.21;10
Dipteryx alata ;DIV;2;2;2;474;Fabaceae;10.7;12.3;0.6943;55.78;63.85;0.9367;74.71;88.15;10
Dipteryx alata ;DIV;2;2;2;480;Fabaceae;18.3;12.8;0.6943;165.31;200.82;0.9367;221.42;277.25;10
Enterolobium contortisiliquum ;SAFM;1;1;2;2012;Fabaceae;10.4;8.9;0.3268;18.44;23.93;0.3835;21.56;28.42;11
Enterolobium contortisiliquum ;CMLM;1;3;2;1269;Fabaceae;18.8;10.3;0.3268;67.55;87.69;0.3835;78.96;104.18;11
Enterolobium contortisiliquum ;CMLM;1;1;2;1695;Fabaceae;25.8;16;0.3268;192.60;198.63;0.3835;225.14;235.97;11
Enterolobium contortisiliquum ;CMLT;2;2;1;492;Fabaceae;14.5;8.3;0.3268;32.96;47.11;0.3835;38.53;55.96;11
Enterolobium contortisiliquum ;SAFM;2;2;2;332;Fabaceae;25.2;10.4;0.3268;120.81;163.26;0.3835;141.22;193.95;11
Enterolobium contortisiliquum ;SAFM;2;3;1;715;Fabaceae;26.2;9.4;0.3268;118.10;171.24;0.3835;138.05;203.43;11
Ficus  guaranitica;DIV;1;1;2;1323;Moraceae;22.3;14;0.5367;206.42;238.11;0.4000;154.93;173.49;12
Ficus  guaranitica;DIV;1;3;1;1720;Moraceae;24.6;17.4;0.5367;309.11;315.37;0.4000;232.01;229.79;12
Ficus  guaranitica;DIV;1;3;;413;Moraceae;40.1;16.3;0.5367;752.78;864.86;0.4000;565.01;630.15;12
Ficus  guaranitica;DIV;2;2;1;442;Moraceae;15.6;11.6;0.5367;85.53;105.09;0.4000;64.20;76.57;12
Ficus  guaranitica;DIV;2;1;;313;Moraceae;14.4;13.3;0.5367;83.61;92.99;0.4000;62.75;67.75;12
Hymenaea courbaril ;CMLM;1;1;1;1672;Fabaceae;12.4;11.2;0.7560;73.76;92.53;0.7898;76.98;96.99;13
Hymenaea courbaril ;CMLT;1;3;1;1203;Fabaceae;16.4;15.3;0.7560;172.62;185.58;0.7898;180.15;194.54;13
Hymenaea courbaril ;SAFM;1;2;2;7465;Fabaceae;28.1;13.1;0.7560;424.41;548.35;0.7898;442.93;574.82;13
Hymenaea courbaril ;DIV;2;1;2;98;Fabaceae;11.8;16.5;0.7560;97.73;95.07;0.7898;102.00;99.66;13
Hymenaea courbaril ;CMLT;2;3;2;668;Fabaceae;13.9;8.5;0.7560;70.43;107.20;0.7898;73.50;112.37;13
Hymenaea courbaril ;SAFM;2;3;2;722;Fabaceae;21.2;14.9;0.7560;277.64;316.13;0.7898;289.76;331.39;13
Lonchocaspus cultratus;CMLT;1;3;2;1216;Fabaceae;26.2;25.4;0.5578;525.07;427.03;0.5900;554.64;453.64;14
Lonchocaspus cultratus;CON;1;1;2;1768;Fabaceae;13.4;9.2;0.5578;52.64;73.47;0.5900;55.61;78.04;14
Lonchocaspus cultratus;SEM;1;2;1;1966;Fabaceae;18.2;15.5;0.5578;159.22;167.37;0.5900;168.19;177.79;14
Lonchocaspus cultratus;SEM;1;2;1;1968;Fabaceae;13.7;8.9;0.5578;53.22;76.12;0.5900;56.21;80.86;14
Lonchocaspus cultratus;SEM;1;2;1;1975;Fabaceae;13.9;12.3;0.5578;75.07;87.61;0.5900;79.30;93.06;14
Lonchocaspus cultratus;SEM;1;1;1;3269;Fabaceae;17.7;16.5;0.5578;160.28;161.20;0.5900;169.31;171.25;14
Luehea divaricata ;DIV;2;1;;496;Malvaceae;19.9;8.1;0.6699;120.29;197.39;0.5548;100.08;161.12;15
Luehea divaricata ;DIV;1;2;1;4964;Malvaceae;20.6;9.6;0.6699;152.57;226.02;0.5548;126.93;184.48;15
Luehea divaricata ;DIV;1;2;2;4974;Malvaceae;33.8;12.3;0.6699;507.22;693.65;0.5548;421.97;566.19;15
Luehea divaricata ;DIV;1;1;1;1312;Malvaceae;23.3;6.3;0.6699;127.67;251.94;0.5548;106.21;205.65;15
Luehea divaricata ;DIV;1;1;;2876;Malvaceae;30.6;12;0.6699;408.89;559.31;0.5548;340.17;456.54;15
Machaerium brasiliensis;CON;1;1;1;1270;Fabaceae;14.9;7.9;0.5182;51.94;80.61;0.6300;62.85;99.48;16
Machaerium brasiliensis;CON;1;1;1;1271;Fabaceae;16.4;10;0.5182;78.84;106.93;0.6300;95.40;131.96;16
Machaerium brasiliensis;CON;1;1;2;1276;Fabaceae;15.7;9.5;0.5182;68.87;95.84;0.6300;83.33;118.28;16
Machaerium brasiliensis;CON;1;1;1;3288;Fabaceae;10.3;9.2;0.5182;29.31;38.95;0.6300;35.47;48.07;16
Machaerium brasiliensis;CON;1;1;1;3297;Fabaceae;13;10.7;0.5182;53.51;67.01;0.6300;64.75;82.71;16
Machaerium brasiliensis;DIV;1;2;1;4965;Fabaceae;19.4;14.8;0.5182;160.45;174.14;0.6300;194.15;214.92;16
Machaerium hirtum ;DIV;1;1;2;1321;Fabaceae;14.9;13.8;0.3448;60.15;62.83;0.6600;113.36;126.44;17
Machaerium hirtum ;DIV;1;3;1;1721;Fabaceae;16.7;16.2;0.3448;87.88;84.41;0.6600;165.62;169.85;17
Machaerium hirtum ;DIV;1;2;2;4976;Fabaceae;15.9;10.7;0.3448;53.27;66.09;0.6600;100.39;132.99;17
Machaerium hirtum ;DIV;2;2;1;451;Fabaceae;24.5;11.9;0.3448;137.43;170.62;0.6600;258.99;343.34;17
Machaerium hirtum ;DIV;2;2;2;460;Fabaceae;24.4;19;0.3448;215.24;198.32;0.6600;405.64;399.08;17
Machaerium hirtum ;DIV;2;2;2;475;Fabaceae;14.4;11.9;0.3448;48.70;55.60;0.6600;91.78;111.87;17
