site,equation,n_inventory_individuals,AGB_field_Mg_ha,AGB_GWDD_Mg_ha,difference_Mg_ha,difference_pct,illustrative_carbon_difference_Mg_C_ha_at_0.47
Edgárdia,Chave et al. (2014),559,138.30671039210114,147.7582158130799,9.451505420978748,6.8337287425777244,4.442207547860011
Edgárdia,Nogueira Junior et al. (2014),559,159.13106633043492,171.03990876774236,11.908842437307442,7.4836690986402274,5.597155945534498
Lageado,Chave et al. (2014),577,201.92116280779365,210.3025170919655,8.381354284171863,4.15080527846899,3.9392365135607754
Lageado,Nogueira Junior et al. (2014),577,216.97258667939033,226.67944240895628,9.706855729565945,4.473770570799935,4.562222192895994
