equation,n_trees,mean_AGB_field_kg,mean_AGB_reference_kg,mean_difference_kg,total_AGB_field_kg,total_AGB_reference_kg,total_difference_kg,aggregate_difference_pct,mean_individual_difference_pct
Chave et al. (2014),172,178.39189774608076,185.3003185168384,6.90842077075764,30683.40641232589,31871.654784896204,1188.2483725703141,3.8726090467353735,7.725461749653284
Nogueira Junior et al. (2014),172,203.76805787631847,211.22849130932974,7.460433433011271,35048.10595472678,36331.300505204716,1283.1945504779387,3.661237934328032,8.678804554966145
