treatment,site,block,plot,tree_id,family,scientific_name,height_m,DBH1_cm,DBH2_cm,DBH3_cm,DBH4_cm,DBH5_cm,DBH6_cm,DBH7_cm,DBH8_cm,DBH9_cm,DBH10_cm,DBH11_cm
DIV,1,3,1,1703,Myrtaceae,Eugenia uniflora L.,6.2,5.0,3.4,,,,,,,,,
DIV,1,3,1,1704,Fabaceae,Schizolobium parahyba (Vell.) Blake,19.2,34.3,,,,,,,,,,
DIV,1,3,1,1705,Fabaceae,Schizolobium parahyba (Vell.) Blake,21.9,30.9,,,,,,,,,,
DIV,1,3,1,1706,Myrtaceae,Eugenia uniflora L.,8.7,5.3,,,,,,,,,,
DIV,1,3,1,1707,Fabaceae,Inga striata Benth.,11.5,9.2,,,,,,,,,,
DIV,1,3,1,1708,Fabaceae,Schizolobium parahyba (Vell.) Blake,21.4,31.7,,,,,,,,,,
DIV,1,3,1,1709,Meliaceae,Cedrela fissilis Vell.,15.0,20.2,,,,,,,,,,
DIV,1,3,1,1710,Arecaceae,Syagrus romanzoffiana (Cham.) Glassman,11.9,15.0,,,,,,,,,,
DIV,1,3,1,1711,Fabaceae,Pterogyne nitens Tul.,12.4,8.5,6.1,,,,,,,,,
DIV,1,3,1,1712,Fabaceae,Dipteryx alata Vogel,9.6,8.4,,,,,,,,,,
DIV,1,3,1,1713,Fabaceae,Dipteryx alata Vogel,13.8,10.2,,,,,,,,,,
DIV,1,3,1,1714,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,25.2,45.9,,,,,,,,,,
DIV,1,3,1,1715,Verbenaceae,Citharexylum myrianthum Cham.,15.8,27.8,,,,,,,,,,
DIV,1,3,1,1716,Fabaceae,Hymenaea courbaril L.,15.2,14.1,,,,,,,,,,
DIV,1,3,1,1717,Fabaceae,Hymenaea courbaril L.,15.3,9.9,,,,,,,,,,
DIV,1,3,1,1718,Fabaceae,Centrolobium tomentosum Guillem. ex Benth.,16.0,9.0,,,,,,,,,,
DIV,1,3,1,1719,Moraceae,Ficus sp.,15.3,14.9,,,,,,,,,,
DIV,1,3,1,1720,Moraceae,Ficus sp.,17.4,24.6,,,,,,,,,,
DIV,1,3,1,1721,Fabaceae,Machaerium hirtum (Vell.) Stellfeld,16.2,16.7,,,,,,,,,,
DIV,1,3,1,1722,Verbenaceae,Citharexylum myrianthum Cham.,18.8,17.1,,,,,,,,,,
DIV,1,3,1,1723,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,12.1,13.4,,,,,,,,,,
DIV,1,3,1,1724,Verbenaceae,Citharexylum myrianthum Cham.,17.4,17.3,,,,,,,,,,
