treatment,site,block,plot,tree_id,family,scientific_name,height_m,DBH1_cm,DBH2_cm,DBH3_cm,DBH4_cm,DBH5_cm,DBH6_cm,DBH7_cm,DBH8_cm,DBH9_cm,DBH10_cm,DBH11_cm
SAFT,1,1,1,2037,Fabaceae,Pterogyne nitens Tul.,19.0,19.2,21.2,,,,,,,,,
SAFT,1,1,1,2038,Fabaceae,Pterogyne nitens Tul.,20.6,44.8,,,,,,,,,,
SAFT,1,1,1,2039,Fabaceae,Mimosa caesalpininiifolia Benth.,12.4,13.5,11.9,7.9,7.0,9.4,13.8,8.2,,,,
SAFT,1,1,1,2040,Fabaceae,Hymenaea courbaril L.,8.0,5.7,,,,,,,,,,
SAFT,1,1,2,2041,Fabaceae,Mimosa caesalpininiifolia Benth.,12.0,11.1,12.4,12.7,10.8,3.6,,,,,,
SAFT,1,1,2,2042,Fabaceae,Mimosa caesalpininiifolia Benth.,14.3,12.4,9.2,12.4,8.5,11.4,10.5,8.9,8.6,13.2,,
SAFT,1,1,2,2043,Fabaceae,Hymenaea courbaril L.,7.5,5.9,,,,,,,,,,
SAFT,1,1,2,2044,Fabaceae,Lonchocaspus cultratus,7.4,6.0,,,,,,,,,,
SAFT,1,1,2,2045,Fabaceae,Pterogyne nitens Tul.,18.4,26.8,34.3,,,,,,,,,
SAFT,1,1,2,2046,Myrtaceae,Eugenia myrcianthes,7.4,7.8,,,,,,,,,,
SAFT,1,1,2,2047,Myrtaceae,Campomanesia xantoparpa,6.4,6.7,5.3,,,,,,,,,
SAFT,1,1,2,2048,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,4.4,5.4,,,,,,,,,,
SAFT,1,1,2,2049,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,7.4,8.2,,,,,,,,,,
SAFT,1,1,2,2050,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,20.9,37.1,,,,,,,,,,
SAFT,1,1,2,2051,Myrtaceae,Campomanesia xantoparpa,5.3,8.0,,,,,,,,,,
SAFT,1,1,2,2052,Meliaceae,Cedrela fissilis Vell.,5.4,8.7,,,,,,,,,,
SAFT,1,1,2,2053,Fabaceae,Pterogyne nitens Tul.,14.5,18.4,,,,,,,,,,
SAFT,1,1,2,2054,Myrtaceae,Eugenia myrcianthes,6.5,7.0,3.7,,,,,,,,,
SAFT,1,1,2,2055,Fabaceae,Mimosa caesalpininiifolia Benth.,8.5,7.3,5.3,8.8,6.7,,,,,,,
CON,1,1,1,2056,Fabaceae,Lonchocaspus cultratus,7.4,11.0,,,,,,,,,,
CON,1,1,1,2057,Fabaceae,Lonchocaspus cultratus,7.1,7.7,,,,,,,,,,
CON,1,1,1,2058,Fabaceae,Lonchocaspus cultratus,5.8,7.1,,,,,,,,,,
CON,1,1,1,2059,Sapindaceae,Diatenopteryx sorbifolia Radlk.,6.4,5.1,,,,,,,,,,
CON,1,1,1,2060,Fabaceae,Lonchocaspus cultratus,8.6,10.7,,,,,,,,,,
CON,1,1,1,2061,Fabaceae,Lonchocaspus cultratus,6.2,5.8,,,,,,,,,,
CON,1,1,1,2062,Fabaceae,Lonchocaspus cultratus,6.1,6.0,,,,,,,,,,
CON,1,1,1,2063,Fabaceae,Lonchocaspus cultratus,5.2,6.0,,,,,,,,,,
CON,1,1,1,2064,Fabaceae,Lonchocaspus cultratus,6.6,7.2,3.9,,,,,,,,,
CON,1,1,1,2065,Apocynaceae,Tabernaemontana hystrix Steud.,5.3,6.1,,,,,,,,,,
CON,1,1,1,2066,Fabaceae,Lonchocaspus cultratus,6.8,8.1,,,,,,,,,,
CON,1,1,1,2067,Fabaceae,Machaerium brasiliensis,5.8,5.4,,,,,,,,,,
CON,1,1,1,2068,Fabaceae,Lonchocaspus cultratus,5.2,7.5,,,,,,,,,,
CON,1,1,1,2069,Fabaceae,Lonchocaspus cultratus,6.0,5.7,,,,,,,,,,
CON,1,1,1,2070,Fabaceae,Machaerium brasiliensis,6.4,7.6,,,,,,,,,,
CON,1,1,1,2071,Fabaceae,Lonchocaspus cultratus,7.0,7.1,3.5,,,,,,,,,
CON,1,1,1,2072,Fabaceae,Lonchocaspus cultratus,6.0,5.4,,,,,,,,,,
CON,1,1,1,2073,Fabaceae,Lonchocaspus cultratus,5.4,6.3,4.2,,,,,,,,,
CON,1,1,1,2074,Meliaceae,Cedrela fissilis Vell.,17.1,38.0,,,,,,,,,,
CON,1,1,1,2075,Malvaceae,Ceiba speciosa (A. St.-Hill) Ravenna,20.9,63.3,,,,,,,,,,
SAFT,1,3,1,3200,Fabaceae,Hymenaea courbaril L.,14.0,13.5,,,,,,,,,,
SAFT,1,3,1,3201,Meliaceae,Cedrela fissilis Vell.,15.4,22.8,,,,,,,,,,
SAFT,1,3,1,3202,Fabaceae,Hymenaea courbaril L.,15.9,26.2,,,,,,,,,,
SAFT,1,3,1,3203,Fabaceae,Dahlstedtia muehlbergiana,4.5,5.2,,,,,,,,,,
SAFT,1,3,1,3204,Myrtaceae,Eugenia myrcianthes,9.1,7.0,,,,,,,,,,
SAFT,1,3,1,3205,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,19.1,30.8,,,,,,,,,,
SAFT,1,3,1,3206,Fabaceae,Mimosa caesalpininiifolia Benth.,10.5,14.1,19.3,11.1,16.2,7.5,10.9,,,,,
SAFT,1,3,1,3207,Fabaceae,Mimosa caesalpininiifolia Benth.,8.9,14.0,8.1,11.0,12.8,12.4,,,,,,
SAFT,1,3,1,3208,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,13.6,8.8,,,,,,,,,,
SAFT,1,3,1,3209,Bignoniaceae,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,11.5,10.0,,,,,,,,,,
SAFT,1,3,1,3210,Fabaceae,Hymenaea courbaril L.,9.6,11.5,,,,,,,,,,
SAFT,1,3,1,3211,Meliaceae,Cedrela fissilis Vell.,11.4,8.4,,,,,,,,,,
SAFT,1,3,1,3212,Fabaceae,Hymenaea courbaril L.,12.5,11.0,,,,,,,,,,
SAFT,1,3,2,3213,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,4.5,5.1,,,,,,,,,,
SAFT,1,3,2,3214,Fabaceae,Pterogyne nitens Tul.,17.5,16.5,9.9,7.0,,,,,,,,
SAFT,1,3,2,3215,Fabaceae,Mimosa caesalpininiifolia Benth.,7.8,5.6,3.8,2.2,,,,,,,,
SAFT,1,3,2,3216,Fabaceae,Pterogyne nitens Tul.,19.3,32.5,27.8,,,,,,,,,
SAFT,1,3,2,3217,Fabaceae,Mimosa caesalpininiifolia Benth.,16.1,11.5,14.4,12.5,13.1,9.5,15.2,,,,,
SAFT,1,3,2,3218,Fabaceae,Mimosa caesalpininiifolia Benth.,16.4,14.5,9.5,,,,,,,,,
SAFT,1,3,2,3219,Bignoniaceae,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,6.8,6.8,,,,,,,,,,
SAFT,1,3,2,3220,Apocynaceae,Aspidosperma polyneuron Müll. Arg.,4.3,5.1,,,,,,,,,,
SAFT,1,3,2,3221,Bignoniaceae,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,6.1,5.6,,,,,,,,,,
SAFT,1,3,2,3222,Fabaceae,Hymenaea courbaril L.,14.7,10.2,,,,,,,,,,
SAFT,1,3,2,3223,Bignoniaceae,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,13.9,15.2,,,,,,,,,,
SAFT,1,3,2,3224,Bignoniaceae,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,14.9,14.9,,,,,,,,,,
SAFT,1,3,2,3225,Fabaceae,Mimosa caesalpininiifolia Benth.,12.1,7.8,,,,,,,,,,
SAFT,1,3,2,3226,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,8.0,10.4,,,,,,,,,,
SAFT,1,3,2,3227,Fabaceae,Pterogyne nitens Tul.,18.2,18.4,21.2,,,,,,,,,
SAFT,1,3,2,3228,Fabaceae,Mimosa caesalpininiifolia Benth.,18.9,14.3,9.4,14.6,11.9,12.4,6.0,14.3,10.1,,,
SAFM,1,3,1,3229,Euphorbiaceae,Alchornea glandulosa,12.0,14.8,,,,,,,,,,
SAFM,1,3,1,3230,Bignoniaceae,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,13.3,13.7,,,,,,,,,,
SAFM,1,3,1,3231,Fabaceae,Mimosa caesalpininiifolia Benth.,9.0,6.9,2.5,,,,,,,,,
SAFM,1,3,1,3232,Fabaceae,Hymenaea courbaril L.,18.5,31.4,,,,,,,,,,
SAFM,1,3,1,3233,Meliaceae,Cedrela fissilis Vell.,14.2,17.1,,,,,,,,,,
SAFM,1,3,1,3234,Fabaceae,Hymenaea courbaril L.,13.1,14.1,,,,,,,,,,
SAFM,1,3,1,3235,Annonaceae,Annona cacans,5.9,6.4,,,,,,,,,,
SAFM,1,3,1,3236,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,22.5,22.6,,,,,,,,,,
SAFM,1,3,1,3237,Fabaceae,Mimosa caesalpininiifolia Benth.,17.3,13.6,17.6,13.7,,,,,,,,
SAFM,1,3,1,3238,Fabaceae,Mimosa caesalpininiifolia Benth.,12.5,11.8,15.2,12.1,,,,,,,,
SAFM,1,3,1,3239,Fabaceae,Pterogyne nitens Tul.,19.6,30.9,,,,,,,,,,
SAFM,1,3,1,3240,Apocynaceae,Aspidosperma polyneuron Müll. Arg.,5.5,5.9,,,,,,,,,,
SAFM,1,3,1,3241,Fabaceae,Hymenaea courbaril L.,22.0,30.8,,,,,,,,,,
SAFM,1,3,1,3242,Bignoniaceae,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,6.1,8.0,,,,,,,,,,
SAFM,1,3,1,3243,Fabaceae,Hymenaea courbaril L.,10.9,8.6,,,,,,,,,,
SAFM,1,3,2,3244,Fabaceae,Peltophorum dubium (Spreng.) Taub.,15.7,13.4,,,,,,,,,,
SAFM,1,3,2,3245,Fabaceae,Mimosa caesalpininiifolia Benth.,14.1,14.4,6.8,21.0,4.4,19.5,,,,,,
SAFM,1,3,2,3246,Fabaceae,Mimosa caesalpininiifolia Benth.,16.3,16.6,20.2,14.8,12.5,,,,,,,
SAFM,1,3,2,3247,Fabaceae,Pterogyne nitens Tul.,12.1,8.8,10.0,,,,,,,,,
SAFM,1,3,2,3248,Fabaceae,Pterogyne nitens Tul.,20.3,27.1,15.0,,,,,,,,,
SAFM,1,3,2,3249,Fabaceae,Peltophorum dubium (Spreng.) Taub.,22.5,30.8,,,,,,,,,,
SAFM,1,3,2,3250,Fabaceae,Mimosa caesalpininiifolia Benth.,7.5,8.3,,,,,,,,,,
SAFM,1,3,2,3251,Lauraceae,Nectandra megapotamica (Spreng.) Mez,6.4,5.1,,,,,,,,,,
SAFM,1,3,2,3252,Fabaceae,Hymenaea courbaril L.,11.5,9.7,,,,,,,,,,
SAFM,1,3,2,3253,Fabaceae,Hymenaea courbaril L.,8.8,11.1,,,,,,,,,,
SAFM,1,3,2,3254,Fabaceae,Pterogyne nitens Tul.,19.6,9.4,26.7,,,,,,,,,
SAFM,1,3,2,3255,Fabaceae,Mimosa caesalpininiifolia Benth.,5.7,5.2,4.5,,,,,,,,,
SAFM,1,3,2,3256,Myrtaceae,Eugenia myrcianthes,10.0,9.7,,,,,,,,,,
SAFM,1,3,2,3257,Verbenaceae,Citharexylum myrianthum Cham.,10.5,6.2,,,,,,,,,,
SAFM,1,3,2,3258,Apocynaceae,Tabernaemontana hystrix Steud.,7.0,5.4,,,,,,,,,,
SEM,1,1,1,3259,Fabaceae,Schizolobium parahyba (Vell.) Blake,24.5,62.5,,,,,,,,,,
SEM,1,1,1,3260,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,21.8,35.7,,,,,,,,,,
SEM,1,1,1,3261,Fabaceae,Schizolobium parahyba (Vell.) Blake,23.3,26.9,,,,,,,,,,
SEM,1,1,1,3262,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,16.0,17.1,4.2,7.0,,,,,,,,
SEM,1,1,1,3263,Fabaceae,Schizolobium parahyba (Vell.) Blake,11.8,16.1,15.6,,,,,,,,,
SEM,1,1,1,3264,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,4.3,5.9,,,,,,,,,,
SEM,1,1,1,3265,Fabaceae,Schizolobium parahyba (Vell.) Blake,16.3,24.5,,,,,,,,,,
SEM,1,1,1,3266,Fabaceae,Schizolobium parahyba (Vell.) Blake,18.2,36.9,,,,,,,,,,
SEM,1,1,1,3267,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,7.3,6.5,,,,,,,,,,
SEM,1,1,1,3268,Fabaceae,Schizolobium parahyba (Vell.) Blake,23.8,59.7,,,,,,,,,,
SEM,1,1,1,3269,Fabaceae,Lonchocaspus cultratus,16.5,17.7,,,,,,,,,,
SEM,1,1,1,3270,Lauraceae,Nectandra megapotamica (Spreng.) Mez,8.4,8.1,,,,,,,,,,
SEM,1,1,1,3271,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,9.4,8.8,,,,,,,,,,
SEM,1,1,1,3272,Fabaceae,Schizolobium parahyba (Vell.) Blake,24.5,52.0,,,,,,,,,,
SEM,1,1,1,3273,Fabaceae,Schizolobium parahyba (Vell.) Blake,11.9,9.2,,,,,,,,,,
SEM,1,1,1,3274,Fabaceae,Schizolobium parahyba (Vell.) Blake,18.8,22.7,,,,,,,,,,
SEM,1,1,1,3275,Fabaceae,Schizolobium parahyba (Vell.) Blake,20.9,51.4,,,,,,,,,,
SEM,1,1,1,3276,Fabaceae,Bauhinia forficata Link,7.3,5.8,,,,,,,,,,
SEM,1,1,2,3277,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,11.3,8.9,,,,,,,,,,
SEM,1,1,2,3278,Fabaceae,Schizolobium parahyba (Vell.) Blake,19.6,46.0,,,,,,,,,,
SEM,1,1,2,3279,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,7.2,7.5,,,,,,,,,,
SEM,1,1,2,3280,Fabaceae,Schizolobium parahyba (Vell.) Blake,19.0,38.7,,,,,,,,,,
SEM,1,1,2,3281,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,7.5,6.1,,,,,,,,,,
SEM,1,1,2,3282,Fabaceae,Schizolobium parahyba (Vell.) Blake,14.4,17.3,,,,,,,,,,
SEM,1,1,2,3283,Meliaceae,Cedrela fissilis Vell.,14.5,22.4,,,,,,,,,,
SEM,1,1,2,3284,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,18.5,25.1,8.8,,,,,,,,,
SEM,1,1,2,3285,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,10.3,13.9,10.5,,,,,,,,,
CON,1,1,1,3286,Fabaceae,Machaerium brasiliensis,7.8,8.1,,,,,,,,,,
CON,1,1,1,3287,Lauraceae,Nectandra megapotamica (Spreng.) Mez,6.7,5.3,,,,,,,,,,
CON,1,1,1,3288,Fabaceae,Machaerium brasiliensis,9.2,10.3,,,,,,,,,,
CON,1,1,1,3289,Meliaceae,Cedrela fissilis Vell.,5.8,13.8,,,,,,,,,,
CON,1,1,1,3290,Meliaceae,Cabralea canjerana (Vell.) Mart.,8.2,10.0,,,,,,,,,,
CON,1,1,1,3291,Fabaceae,Lonchocaspus cultratus,8.4,15.6,,,,,,,,,,
CON,1,1,1,3292,Lauraceae,Nectandra megapotamica (Spreng.) Mez,7.5,7.8,,,,,,,,,,
CON,1,1,1,3293,Fabaceae,Lonchocaspus cultratus,5.2,9.8,,,,,,,,,,
CON,1,1,1,3294,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,4.6,9.4,,,,,,,,,,
CON,1,1,1,3295,Salicaceae,Casearia sylvestris Sw.,11.3,22.5,10.9,12.9,9.5,,,,,,,
CON,1,1,1,3296,Fabaceae,Lonchocaspus cultratus,4.6,5.5,,,,,,,,,,
CON,1,1,1,3297,Fabaceae,Machaerium brasiliensis,10.7,13.0,,,,,,,,,,
CON,1,1,1,3298,Fabaceae,Lonchocaspus cultratus,7.2,7.3,4.2,4.6,,,,,,,,
CON,1,1,1,3299,Fabaceae,Machaerium brasiliensis,9.6,20.5,,,,,,,,,,
CON,1,1,1,3300,Lauraceae,Nectandra megapotamica (Spreng.) Mez,5.2,5.1,,,,,,,,,,
CMLM,1,2,2,3582,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,18.7,11.7,,,,,,,,,,
CMLM,1,2,2,3583,Fabaceae,Myroxylum peruiferum L. f.,16.6,23.5,,,,,,,,,,
CMLM,1,2,2,3584,Fabaceae,Myroxylum peruiferum L. f.,16.2,20.2,,,,,,,,,,
CMLM,1,2,2,3585,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,7.4,10.6,,,,,,,,,,
CMLM,1,2,2,3586,Malvaceae,Guazuma ulmifolia Lamarck.,6.3,9.9,,,,,,,,,,
CMLM,1,2,2,3587,Apocynaceae,Tabernaemontana hystrix Steud.,4.8,8.0,,,,,,,,,,
CMLM,1,2,2,3588,Apocynaceae,Tabernaemontana hystrix Steud.,5.8,7.9,,,,,,,,,,
CMLM,1,2,2,3589,Apocynaceae,Tabernaemontana hystrix Steud.,7.5,13.8,,,,,,,,,,
CMLM,1,2,2,3590,Apocynaceae,Aspidosperma polyneuron Müll. Arg.,6.1,9.6,,,,,,,,,,
CMLM,1,2,2,3591,Fabaceae,Centrolobium tomentosum Guillem. ex Benth.,3.9,5.7,,,,,,,,,,
CMLM,1,2,2,3592,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,4.5,6.7,,,,,,,,,,
CMLM,1,2,2,3593,Fabaceae,Peltophorum dubium (Spreng.) Taub.,17.9,38.8,,,,,,,,,,
CMLM,1,2,2,3594,Fabaceae,Hymenaea courbaril L.,8.5,8.6,,,,,,,,,,
CMLM,1,2,2,3595,Apocynaceae,Tabernaemontana hystrix Steud.,5.7,5.7,,,,,,,,,,
CMLM,1,2,2,3596,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,5.0,5.5,,,,,,,,,,
CMLM,1,2,2,3597,Fabaceae,Hymenaea courbaril L.,18.7,21.7,,,,,,,,,,
DIV,1,2,1,4956,Malvaceae,Luehea divaricata Mart & Zucc.,10.4,15.4,4.8,,,,,,,,,
DIV,1,2,1,4957,Anacardiaceae,Schinus terebinthifolia Raddi.,7.0,19.0,16.5,4.0,,,,,,,,
DIV,1,2,1,4958,Anacardiaceae,Schinus terebinthifolia Raddi.,6.5,8.4,5.9,,,,,,,,,
DIV,1,2,1,4959,Anacardiaceae,Schinus terebinthifolia Raddi.,13.1,16.0,25.3,10.2,,,,,,,,
DIV,1,2,1,4960,Anacardiaceae,Schinus terebinthifolia Raddi.,12.7,17.4,,,,,,,,,,
DIV,1,2,1,4961,Fabaceae,Centrolobium tomentosum Guillem. ex Benth.,17.6,15.3,17.0,,,,,,,,,
DIV,1,2,1,4962,Myrtaceae,Eugenia pyriformis Cambess.,8.9,6.1,,,,,,,,,,
DIV,1,2,1,4963,Fabaceae,Schizolobium parahyba (Vell.) Blake,21.9,53.7,,,,,,,,,,
DIV,1,2,1,4964,Malvaceae,Luehea divaricata Mart & Zucc.,9.6,19.9,5.5,,,,,,,,,
DIV,1,2,1,4965,Fabaceae,Machaerium brasiliensis,14.8,19.4,,,,,,,,,,
DIV,1,2,1,4966,Fabaceae,Machaerium brasiliensis,4.7,6.1,,,,,,,,,,
DIV,1,2,2,4967,Anacardiaceae,Schinus terebinthifolia Raddi.,6.2,12.2,8.4,8.6,11.2,,,,,,,
DIV,1,2,2,4968,Verbenaceae,Citharexylum myrianthum Cham.,16.3,26.5,,,,,,,,,,
DIV,1,2,2,4969,Anacardiaceae,Schinus terebinthifolia Raddi.,9.3,9.2,,,,,,,,,,
DIV,1,2,2,4970,Fabaceae,Enterolobium contortisiliquum (Vell.) Morong,20.8,40.8,,,,,,,,,,
DIV,1,2,2,4971,Fabaceae,Centrolobium tomentosum Guillem. ex Benth.,20.0,22.2,,,,,,,,,,
DIV,1,2,2,4972,Fabaceae,Poecilanthe parviflora Benth.,9.7,14.9,7.4,,,,,,,,,
DIV,1,2,2,4973,Euphorbiaceae,Croton floribundus Spreng.,13.6,16.0,,,,,,,,,,
DIV,1,2,2,4974,Malvaceae,Luehea divaricata Mart & Zucc.,12.3,29.5,16.4,,,,,,,,,
DIV,1,2,2,4975,Fabaceae,Poecilanthe parviflora Benth.,6.5,8.5,,,,,,,,,,
DIV,1,2,2,4976,Fabaceae,Machaerium hirtum (Vell.) Stellfeld,10.7,15.9,,,,,,,,,,
DIV,1,2,2,4977,Fabaceae,Lonchocaspus cultratus,8.0,7.8,9.5,8.8,,,,,,,,
DIV,1,2,2,4978,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,4.3,9.2,,,,,,,,,,
DIV,1,2,2,4979,Fabaceae,Lonchocaspus cultratus,4.3,5.9,3.2,2.3,,,,,,,,
DIV,1,2,2,4980,Fabaceae,Hymenaea courbaril L.,10.5,17.5,,,,,,,,,,
DIV,1,2,2,4981,Fabaceae,Dipteryx alata Vogel,3.7,5.5,,,,,,,,,,
DIV,1,2,2,4982,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,4.9,6.3,3.4,,,,,,,,,
DIV,1,2,2,4983,Lauraceae,Ocotea corymbosa,15.8,12.4,,,,,,,,,,
SAFM,1,2,1,7440,Fabaceae,Parapiptadenia rigida (Benth.) Brenan,8.1,5.7,4.0,,,,,,,,,
SAFM,1,2,1,7441,Fabaceae,Mimosa caesalpininiifolia Benth.,9.1,21.2,,,,,,,,,,
SAFM,1,2,1,7442,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,7.2,5.8,,,,,,,,,,
SAFM,1,2,1,7443,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,7.0,7.0,,,,,,,,,,
SAFM,1,2,1,7444,Fabaceae,Hymenaea courbaril L.,7.4,7.3,,,,,,,,,,
SAFM,1,2,1,7445,Fabaceae,Mimosa caesalpininiifolia Benth.,11.9,10.8,,,,,,,,,,
SAFM,1,2,1,7446,Fabaceae,Pterogyne nitens Tul.,16.2,32.2,,,,,,,,,,
SAFM,1,2,1,7447,Meliaceae,Cedrela fissilis Vell.,5.9,14.2,,,,,,,,,,
SAFM,1,2,1,7448,Euphorbiaceae,Alchornea glandulosa,6.9,7.2,,,,,,,,,,
SAFM,1,2,1,7449,Euphorbiaceae,Alchornea glandulosa,6.4,6.1,,,,,,,,,,
SAFM,1,2,1,7450,Myrtaceae,Eugenia myrcianthes,6.2,9.2,,,,,,,,,,
SAFM,1,2,1,7451,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,5.9,6.5,,,,,,,,,,
SAFM,1,2,1,7452,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,6.5,9.2,,,,,,,,,,
SAFM,1,2,1,7453,Myrtaceae,Campomanesia xantoparpa,8.7,8.2,,,,,,,,,,
SAFM,1,2,1,7454,Euphorbiaceae,Alchornea glandulosa,8.3,6.8,,,,,,,,,,
SAFM,1,2,1,7455,Fabaceae,Hymenaea courbaril L.,15.1,26.7,,,,,,,,,,
SAFM,1,2,1,7456,Urticaceae,Urera baccifera (L.) Gaudich. ex Wedd.,4.1,7.8,,,,,,,,,,
SAFM,1,2,1,7457,Fabaceae,Senegalia polyphylla (DC.) Britton & Rose,9.8,10.6,,,,,,,,,,
SAFM,1,2,1,7458,Euphorbiaceae,Alchornea glandulosa,5.6,6.8,,,,,,,,,,
SAFM,1,2,1,7459,Fabaceae,Pterogyne nitens Tul.,10.9,12.5,12.9,,,,,,,,,
SAFM,1,2,1,7460,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,9.0,5.9,,,,,,,,,,
SAFM,1,2,2,7461,Primulaceae,Myrsine umbellata,7.7,6.0,,,,,,,,,,
SAFM,1,2,2,7462,Urticaceae,Urera baccifera (L.) Gaudich. ex Wedd.,6.6,11.1,,,,,,,,,,
SAFM,1,2,2,7463,Fabaceae,Hymenaea courbaril L.,5.8,7.3,,,,,,,,,,
SAFM,1,2,2,7464,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,19.4,36.0,,,,,,,,,,
SAFM,1,2,2,7465,Fabaceae,Hymenaea courbaril L.,13.1,28.1,,,,,,,,,,
SAFM,1,2,2,7466,Fabaceae,Enterolobium contortisiliquum (Vell.) Morong,17.5,60.3,,,,,,,,,,
SAFM,1,2,2,7467,Cannabaceae,Celtis iguanaea (Jacq.) Sarg.,6.6,5.9,,,,,,,,,,
SAFM,1,2,2,7468,Urticaceae,Urera baccifera (L.) Gaudich. ex Wedd.,7.1,9.6,,,,,,,,,,
SAFM,1,2,2,7469,Fabaceae,Pterogyne nitens Tul.,20.2,25.2,28.6,,,,,,,,,
SAFM,1,2,2,7470,Fabaceae,Mimosa caesalpininiifolia Benth.,5.2,6.4,3.6,,,,,,,,,
SAFM,1,2,2,7471,Apocynaceae,Tabernaemontana hystrix Steud.,7.0,6.2,,,,,,,,,,
SAFM,1,2,2,7472,Lamiaceae,Aegiphila integrifolia (Jacq.) Moldenke,8.2,11.3,13.5,,,,,,,,,
SAFM,1,2,2,7473,Euphorbiaceae,Alchornea glandulosa,8.3,12.6,,,,,,,,,,
SAFM,1,2,2,7474,Euphorbiaceae,Alchornea glandulosa,8.6,7.7,,,,,,,,,,
SAFM,1,2,2,7475,Fabaceae,Hymenaea courbaril L.,7.0,6.4,,,,,,,,,,
SAFM,1,2,2,7476,Apocynaceae,Aspidosperma polyneuron Müll. Arg.,11.1,15.0,,,,,,,,,,
SAFM,1,2,2,7477,Solanaceae,Solanum pseudoquina,5.2,7.0,,,,,,,,,,
SAFM,1,2,2,7478,Urticaceae,Urera baccifera (L.) Gaudich. ex Wedd.,7.3,10.4,,,,,,,,,,
SAFM,1,2,2,7479,Urticaceae,Urera baccifera (L.) Gaudich. ex Wedd.,7.5,16.2,,,,,,,,,,
SAFM,1,2,2,7480,Urticaceae,Urera baccifera (L.) Gaudich. ex Wedd.,6.4,11.6,8.4,,,,,,,,,
SAFM,1,2,2,7481,Myrtaceae,Psidium guajava L.,5.1,6.1,,,,,,,,,,
SAFM,1,2,2,7482,Urticaceae,Urera baccifera (L.) Gaudich. ex Wedd.,7.4,12.0,,,,,,,,,,
SAFM,1,2,2,7483,Fabaceae,Hymenaea courbaril L.,9.2,10.6,,,,,,,,,,
SAFM,1,2,2,7484,Apocynaceae,Tabernaemontana hystrix Steud.,5.0,5.3,,,,,,,,,,
SAFT,1,2,1,7485,Myrtaceae,Campomanesia xantoparpa,7.9,6.3,5.4,,,,,,,,,
SAFT,1,2,1,7486,Myrtaceae,Eugenia myrcianthes,8.6,11.8,,,,,,,,,,
SAFT,1,2,1,7487,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,9.0,6.2,,,,,,,,,,
SAFT,1,2,1,7488,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,8.7,10.2,,,,,,,,,,
SAFT,1,2,1,7489,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,8.5,8.2,,,,,,,,,,
SAFT,1,2,1,7490,Meliaceae,Guarea guidonia (L.) Sleumer,6.7,5.4,,,,,,,,,,
SAFT,1,2,1,7491,Meliaceae,Cabralea canjerana (Vell.) Mart.,11.2,10.1,,,,,,,,,,
SAFT,1,2,1,7492,Anacardiaceae,Schinus terebinthifolia Raddi.,7.5,9.7,,,,,,,,,,
SAFT,1,2,1,7493,Fabaceae,Hymenaea courbaril L.,11.7,17.2,17.7,,,,,,,,,
