species,treatment,site,block,plot,tree_id,family,DBH_cm,height_m
Luehea divaricata,DIV,2,1,,496,Malvaceae,19.9,8.1
Luehea divaricata,DIV,1,2,1,4964,Malvaceae,20.646065000382034,9.6
Luehea divaricata,DIV,1,2,2,4974,Malvaceae,33.752185114448515,12.3
Luehea divaricata,DIV,1,1,1,1312,Malvaceae,23.263060847618483,6.3
Luehea divaricata,DIV,1,1,,2876,Malvaceae,30.6,12.0
Machaerium brasiliense,CON,1,1,1,1270,Fabaceae,14.9,7.9
Machaerium brasiliense,CON,1,1,1,1271,Fabaceae,16.4,10.0
Machaerium brasiliense,CON,1,1,2,1276,Fabaceae,15.7,9.5
Machaerium brasiliense,CON,1,1,1,3288,Fabaceae,10.3,9.2
Machaerium brasiliense,CON,1,1,1,3297,Fabaceae,13.0,10.7
Machaerium brasiliense,DIV,1,2,1,4965,Fabaceae,19.4,14.8
Machaerium hirtum,DIV,1,1,2,1321,Fabaceae,14.9,13.8
Machaerium hirtum,DIV,1,3,1,1721,Fabaceae,16.7,16.2
Machaerium hirtum,DIV,1,2,2,4976,Fabaceae,15.9,10.7
Machaerium hirtum,DIV,2,2,1,451,Fabaceae,24.5,11.9
Machaerium hirtum,DIV,2,2,2,460,Fabaceae,24.4,19.0
Machaerium hirtum,DIV,2,2,2,475,Fabaceae,14.4,11.9
Mimosa caesalpiniifolia,CMLT,1,3,2,1218,Fabaceae,32.973019273339226,10.6
Mimosa caesalpiniifolia,CMLT,1,2,2,1357,Fabaceae,28.04086303950005,10.6
Mimosa caesalpiniifolia,SAFM,1,2,1,7445,Fabaceae,10.8,11.9
Mimosa caesalpiniifolia,DIV,2,1,1,76,Fabaceae,21.3,17.9
Mimosa caesalpiniifolia,CMLT,2,1,2,196,Fabaceae,11.9,13.4
Moquiniastrum polymorphum,CON,2,3,1,744,Asteraceae,10.8,6.5
Moquiniastrum polymorphum,CON,2,3,2,751,Asteraceae,27.437201023428027,9.1
Moquiniastrum polymorphum,CON,2,3,2,755,Asteraceae,24.3,10.1
Moquiniastrum polymorphum,CON,2,3,2,761,Asteraceae,16.2,7.2
Moquiniastrum polymorphum,CON,2,3,2,766,Asteraceae,14.624978632463023,7.9
Myroxylon peruiferum,CMLM,2,1,1,119,Fabaceae,12.3,10.2
Myroxylon peruiferum,CMLM,2,1,1,131,Fabaceae,14.5,11.2
Myroxylon peruiferum,CMLT,2,1,1,183,Fabaceae,12.9,17.0
Myroxylon peruiferum,CMLT,1,3,2,1219,Fabaceae,17.0,15.3
Myroxylon peruiferum,CMLM,1,2,2,3583,Fabaceae,23.5,16.6
Myroxylon peruiferum,CMLM,1,2,2,3584,Fabaceae,20.2,16.2
Parapiptadenia rigida,SEM,2,1,1,242,Fabaceae,11.0,9.0
Parapiptadenia rigida,SEM,2,1,2,254,Fabaceae,11.5,13.4
Parapiptadenia rigida,CMLM,2,3,1,677,Fabaceae,10.5,4.9
Peltophorum dubium,SAFM,1,3,2,3244,Fabaceae,13.4,15.7
Peltophorum dubium,SAFM,1,3,2,3249,Fabaceae,30.8,22.5
Peltophorum dubium,CMLM,1,2,2,3593,Fabaceae,38.8,17.9
Peltophorum dubium,CMLT,2,1,2,201,Fabaceae,26.6,17.2
Peltophorum dubium,CMLM,2,2,1,533,Fabaceae,19.2,9.9
Peltophorum dubium,SAFM,2,3,2,725,Fabaceae,14.3,11.5
Piptadenia gonoacantha,DIV,1,3,1,1727,Fabaceae,35.7,18.5
Piptadenia gonoacantha,CMLT,1,1,2,1643,Fabaceae,11.8,13.0
Piptadenia gonoacantha,CON,2,1,,248,Fabaceae,11.8,10.2
Piptadenia gonoacantha,CMLT,2,2,2,505,Fabaceae,13.5,10.0
Piptadenia gonoacantha,DIV,2,3,2,599,Fabaceae,22.645970944077447,13.7
Poecilanthe parviflora,DIV,1,2,2,4972,Fabaceae,16.63640586184408,9.7
Poecilanthe parviflora,DIV,2,1,,424,Fabaceae,17.6,12.7
